"filename", "language", "JSON with Comments", "JSON", "TypeScript", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\todoListStyles.css", "CSS", 0, 0, 0, 0, 0, 133, 0, 21, 154
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\UserAuth\UserAuth.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 13, 71
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\UserAuth\UserAuthLogic.ts", "TypeScript", 0, 0, 161, 0, 0, 0, 0, 25, 186
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\UserAuth\userAuthStyles.css", "CSS", 0, 0, 0, 0, 0, 112, 0, 17, 129
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.css", "CSS", 0, 0, 0, 0, 0, 26, 0, 3, 29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 12, 9, 93
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\BaseService.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 9, 67
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\NoteService.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 6, 75
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\ProjectService.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 6, 59
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\TodoService.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 7, 31
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\UserService.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 8, 44
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\GlobalStore.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 11, 74
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\NoteStore.ts", "TypeScript", 0, 0, 137, 0, 0, 0, 0, 15, 152
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\ProjectStore.ts", "TypeScript", 0, 0, 190, 0, 0, 0, 0, 20, 210
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\TodoStore.ts", "TypeScript", 0, 0, 55, 0, 0, 0, 0, 13, 68
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\UserStore.ts", "TypeScript", 0, 0, 93, 0, 0, 0, 0, 15, 108
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Date.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\GeneralFunctions.ts", "TypeScript", 0, 0, 200, 0, 0, 0, 11, 18, 229
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\Router.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 7, 42
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\RouterLogic.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 11, 97
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\TsTypes.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 12, 75
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\tsconfig.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 2, 3, 24
"Total", "-", 19, 1192, 3538, 1, 18, 1346, 287, 711, 7112
