"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\NoteEditor.ts", "TypeScript", -1, 0, 0, 1, 0
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\NoteEditorLogic.ts", "TypeScript", 225, 0, 71, 15, 311
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\noteStyling.css", "CSS", 0, 1, 0, 0, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\EditingButtons\SelectColor.ts", "TypeScript", 13, 0, 0, 2, 15
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\EditingButtons\SelectColorLogic.ts", "TypeScript", 99, 0, 16, 11, 126
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\SelectColor\SelectColor.ts", "TypeScript", -13, 0, 0, -2, -15
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\SelectColor\SelectColorLogic.ts", "TypeScript", -49, 0, 0, -7, -56
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\WarningMessage\WarningLogic.ts", "TypeScript", -1, 0, 1, 0, 0
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarFolderLogic.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.ts", "TypeScript", 4, 0, 1, 0, 5
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\BaseService.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\NoteService.ts", "TypeScript", 17, 0, 0, 0, 17
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\NoteStore.ts", "TypeScript", 33, 0, 0, -1, 32
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\GeneralFunctions.ts", "TypeScript", 57, 0, 6, 5, 68
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\TsTypes.ts", "TypeScript", 14, 0, 0, 3, 17
"Total", "-", 400, 1, 95, 27, 523
