"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Home\Home.ts", "TypeScript", 23, 0, 0, 7, 30
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Home\HomeLogic.ts", "TypeScript", 25, 0, 1, 5, 31
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Home\homeStyling.css", "CSS", 0, 52, 0, 9, 61
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\Navbar.ts", "TypeScript", 4, 0, 0, 1, 5
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\NavbarLogic.ts", "TypeScript", 12, 0, 0, 2, 14
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\navbarStyles.css", "CSS", 0, 7, 0, 1, 8
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\NoteEditorLogic.ts", "TypeScript", -6, 0, -7, 0, -13
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\noteStyling.css", "CSS", 0, 7, 0, 0, 7
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\AddNewTask\AddNewTask.ts", "TypeScript", 28, 0, 0, 11, 39
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\AddNewTask\addNewTaskLogic.ts", "TypeScript", 43, 0, 0, 9, 52
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\AddNewTask\addNewTaskStyling.css", "CSS", 0, 84, 0, 9, 93
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\CreateNewFolder\CreateNewFolder.ts", "TypeScript", 28, 0, 0, 11, 39
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\CreateNewFolder\CreateNewFolderLogic.ts", "TypeScript", 13, 0, 0, 4, 17
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\CreateNewFolder\newFolderStyling.css", "CSS", 0, 84, 0, 9, 93
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\WarningMessage\GenerateMessage.ts", "TypeScript", 17, 0, 0, 6, 23
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\WarningMessage\WarningLogic.ts", "TypeScript", 23, 0, 0, 6, 29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\WarningMessage\warningStyling.css", "CSS", 0, 70, 0, 8, 78
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\Sidebar.ts", "TypeScript", 4, 0, 0, 4, 8
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarLogic.ts", "TypeScript", 48, 0, 1, 3, 52
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\sidebarStyling.css", "CSS", 0, 50, 0, 7, 57
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\TodoList.ts", "TypeScript", -11, 0, 0, 0, -11
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\TodoListLogic.ts", "TypeScript", 83, 0, 6, 13, 102
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\todoListStyles.css", "CSS", 0, 80, 0, 10, 90
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\WarningMessage\GenerateMessage.ts", "TypeScript", -16, 0, 0, -6, -22
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\WarningMessage\WarningLogic.ts", "TypeScript", -23, 0, 0, -6, -29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\WarningMessage\warningStyling.css", "CSS", 0, -70, 0, -8, -78
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Home\index.css", "CSS", 0, -26, 0, -3, -29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Home\index.ts", "TypeScript", -42, 0, -1, -5, -48
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.css", "CSS", 0, 26, 0, 3, 29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.ts", "TypeScript", 50, 0, 0, 6, 56
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\ProjectService.ts", "TypeScript", 12, 0, 0, 4, 16
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\TodoService.ts", "TypeScript", 18, 0, 0, 6, 24
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\UserService.ts", "TypeScript", 2, 0, 0, 0, 2
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\GlobalStore.ts", "TypeScript", -2, 0, 0, 1, -1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\NoteStore.ts", "TypeScript", 47, 0, 0, 11, 58
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\NotesStore.ts", "TypeScript", 0, 0, 0, -1, -1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\ProjectStore.ts", "TypeScript", 49, 0, 0, 14, 63
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\TodoStore.ts", "TypeScript", 50, 0, 0, 13, 63
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router.ts", "TypeScript", -57, 0, 0, -10, -67
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\Router.ts", "TypeScript", 35, 0, 0, 7, 42
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\RouterLogic.ts", "TypeScript", 75, 0, 0, 7, 82
"Total", "-", 532, 364, 0, 168, 1064
