"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Navbar\NavbarLogic.ts", "TypeScript", 11, 0, 0, 3, 14
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\NoteEditor.ts", "TypeScript", 37, 0, 0, 8, 45
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\NoteEditorLogic.ts", "TypeScript", 67, 0, 2, 12, 81
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\Sidebar.ts", "TypeScript", 58, 0, 0, 12, 70
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarLogic.ts", "TypeScript", 96, 0, 1, 16, 113
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\sidebarStyling.css", "CSS", 0, 25, 0, 5, 30
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Home\index.css", "CSS", 0, -1, 0, 0, -1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Home\index.ts", "TypeScript", 5, 0, 0, 0, 5
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\NoteService.ts", "TypeScript", 15, 0, 0, 1, 16
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\GlobalStore.ts", "TypeScript", 12, 0, 0, 0, 12
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Date.ts", "TypeScript", 4, 0, 3, -2, 5
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\NavbarLogic.ts", "TypeScript", -79, 0, -3, -18, -100
"Total", "-", 226, 24, 3, 37, 290
