"filename", "language", "JSON with Comments", "TypeScript", "CSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\CreateNewFolder\newFolderStyling.css", "CSS", 0, 0, 85, 0, 0, 0, 0, 9, 94
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\WarningMessage\GenerateMessage.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\WarningMessage\WarningLogic.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 6, 29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\WarningMessage\warningStyling.css", "CSS", 0, 0, 70, 0, 0, 0, 0, 8, 78
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\Sidebar.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 14, 54
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarLogic.ts", "TypeScript", 0, 432, 0, 0, 0, 0, 33, 66, 531
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\sidebarStyling.css", "CSS", 0, 0, 218, 0, 0, 0, 0, 39, 257
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\TodoList.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\TodoListLogic.ts", "TypeScript", 0, 105, 0, 0, 0, 0, 6, 16, 127
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\todoListStyles.css", "CSS", 0, 0, 123, 0, 0, 0, 0, 20, 143
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\UserAuth\UserAuth.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 13, 71
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\UserAuth\UserAuthLogic.ts", "TypeScript", 0, 161, 0, 0, 0, 0, 0, 25, 186
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\UserAuth\userAuthStyles.css", "CSS", 0, 0, 108, 0, 0, 0, 0, 17, 125
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.css", "CSS", 0, 0, 26, 0, 0, 0, 0, 3, 29
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 9, 70
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\BaseService.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 9, 66
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\NoteService.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 6, 69
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\ProjectService.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\TodoService.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\UserService.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 7, 42
