"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarLogic.ts", "TypeScript", 102, 0, 26, 25, 153
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\sidebarStyling.css", "CSS", 0, 8, 0, 1, 9
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.ts", "TypeScript", 6, 0, 0, 2, 8
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\ProjectService.ts", "TypeScript", -2, 0, 0, 0, -2
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\ProjectStore.ts", "TypeScript", 18, 0, 3, 2, 23
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\GeneralFunctions.ts", "TypeScript", 10, 0, 0, 2, 12
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\Router.ts", "TypeScript", -1, 0, 0, 0, -1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\RouterLogic.ts", "TypeScript", -1, 0, 0, 0, -1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\TsTypes.ts", "TypeScript", 7, 0, 0, 2, 9
"Total", "-", 139, 8, 29, 34, 210
