"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\NoteEditor\NoteEditorLogic.ts", "TypeScript", -2, 0, 0, 0, -2
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\AddNewTask\addNewTaskStyling.css", "CSS", 0, 1, 0, 0, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\CreateNewFolder\CreateNewFolder.ts", "TypeScript", -2, 0, 0, 0, -2
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\CreateNewFolder\CreateNewFolderLogic.ts", "TypeScript", 39, 0, 0, 4, 43
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\PopupWindows\CreateNewFolder\newFolderStyling.css", "CSS", 0, 1, 0, 0, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\Sidebar.ts", "TypeScript", 6, 0, 0, -1, 5
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\SidebarLogic.ts", "TypeScript", 137, 0, 2, 15, 154
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\Sidebar\sidebarStyling.css", "CSS", 0, 79, 0, 15, 94
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\TodoList\TodoListLogic.ts", "TypeScript", 1, 0, 0, -1, 0
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Components\UserAuth\UserAuthLogic.ts", "TypeScript", 2, 0, 0, -1, 1
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Pages\Main\index.ts", "TypeScript", 5, 0, 0, 1, 6
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\ProjectService.ts", "TypeScript", 15, 0, 0, 1, 16
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Services\UserService.ts", "TypeScript", 2, 0, 0, 0, 2
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Stores\ProjectStore.ts", "TypeScript", 24, 0, 0, 2, 26
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\Router\RouterLogic.ts", "TypeScript", 2, 0, 0, 1, 3
"c:\Users\Ljubo\Documents\GitHub\Note-Taker\client\src\Utils\TsTypes.ts", "TypeScript", 26, 0, 0, 6, 32
"Total", "-", 255, 81, 2, 42, 380
